% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 46.05    0.438531          11     40751         1 write
 18.71    0.178222           2     81330           read
 15.29    0.145592           5     30711           close
  6.29    0.059890           3     20403        64 openat
  6.11    0.058155           3     20368     10195 stat
  3.72    0.035393           3     10165           accept
  3.64    0.034670           2     20341           fstat
  0.12    0.001164           6       209       206 connect
  0.07    0.000686           3       209           socket
  0.00    0.000030          15         2           munmap
  0.00    0.000000           0        12           mmap
  0.00    0.000000           0         6           mprotect
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         2           rt_sigaction
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         5         5 access
  0.00    0.000000           0         1           sendto
  0.00    0.000000           0         3           recvmsg
  0.00    0.000000           0         2           bind
  0.00    0.000000           0         1           listen
  0.00    0.000000           0         3           getsockname
  0.00    0.000000           0         1           setsockopt
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         1           readlink
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           time
  0.00    0.000000           0         2           futex
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.952333                224540     10471 total
